지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10)
108,서울,2024-01-29,-.4,-4.8,4.6,,3.7,1.7,42,66.6,9.2,12.65,,,2
108,서울,2024-01-30,1.4,-4,8.1,,2.9,1.4,28,59.3,9.4,12.73,,,2.3
108,서울,2024-01-31,4.7,.7,10.6,,4.3,1.9,28,54.1,8.9,12.65,,,2.6
108,서울,2024-02-01,2.4,-1.3,8.2,,4.4,2.1,42,64.9,6.8,10.12,,,6.4
108,서울,2024-02-02,3.1,.7,7.9,,4.1,2.1,48,65.5,4.4,10.3,,,5.4
108,서울,2024-02-03,4.7,-.2,8.3,0,4.4,2.2,50,63.9,1,6.77,,,8.4
108,서울,2024-02-04,7.3,3.7,12.2,,4.7,1.8,44,60.9,4.6,10.88,,,8.6
108,서울,2024-02-05,2.7,.1,6.6,3.9,8.8,5,60,81.8,0,3.47,3.6,3.6,10
108,서울,2024-02-06,1.2,0,2.9,.2,3.4,2.2,71,83.5,0,4.49,.2,3.8,8.8
108,서울,2024-02-07,.6,-.9,2.7,0,3.6,2.1,59,76.6,0,3.61,,,6.6
108,서울,2024-02-08,.6,-3,6.2,,4,1.6,41,66.9,9.2,13.96,,,2
108,서울,2024-02-09,1.1,-2.5,6.1,,4.5,2.2,42,66.8,6.9,12.47,,,3.3
108,서울,2024-02-10,1.7,-1.5,7.4,,4.7,1.9,40,69.4,5.6,11.32,,,2.3
108,서울,2024-02-11,1,-3.1,5.5,0,5.5,2.2,49,70.6,5.6,10.38,,,2
108,서울,2024-02-12,3.5,-2.9,10.5,,3.6,1.8,30,62.8,9.7,15.35,,,.3
108,서울,2024-02-13,8.2,2,13.7,,5.6,2.5,57,70.6,5.5,10.98,,,2.5
108,서울,2024-02-14,12.9,8.8,18.3,,4.4,2.2,60,76.4,4,10.39,,,7
108,서울,2024-02-15,4.5,.6,11.6,10.9,6.5,2.9,68,89.9,.9,2.71,1.5,1.5,7.6
108,서울,2024-02-16,2.3,-1.5,8.1,,3.7,1.8,46,72.4,7.9,13.32,,,.6
108,서울,2024-02-17,4.4,-1.2,11.7,,3,1.7,48,73.5,8.7,15.33,,,0
108,서울,2024-02-18,6.2,1.2,9.4,17.1,5,2.8,54,81.4,1.1,3.01,,,7.1
108,서울,2024-02-19,9.1,4.2,11.9,8.9,4.8,2.3,87,95.8,0,1.37,,,9.6
108,서울,2024-02-20,4.3,2.8,6.8,2.6,7.5,3.4,75,86.3,0,2.34,,,9.9
108,서울,2024-02-21,1.9,0,4,17.8,7.2,5.2,75,92.5,0,2.77,5.2,5.2,10
108,서울,2024-02-22,.2,-1.1,1.6,8.8,6,4.2,73,84.5,0,4.5,8.6,13.8,9.8
108,서울,2024-02-23,1.8,-1,6.1,.4,5.5,3.5,50,68.8,5.8,15.28,.3,10.2,5.9
108,서울,2024-02-24,2,-1.3,5.9,2.3,4.7,2.9,48,68.6,5.5,12.07,,2,7.4
108,서울,2024-02-25,2.8,.8,5.9,1.8,3.8,2,63,80.8,.9,7.55,.2,.2,6.4
108,서울,2024-02-26,3.8,-1.2,9.7,,3.7,1.9,39,65.3,6.8,14.98,,,2.1
108,서울,2024-02-27,5.3,1.2,9.8,,5.2,3,36,52,5.5,13.06,,,7.5
108,서울,2024-02-28,6.4,3.2,10.1,,3.3,2.1,47,59.5,1.7,10.2,,,8.5
108,서울,2024-02-29,4.8,.3,9.6,,6.6,2.2,43,63.6,1.2,7.01,,,6.8
108,서울,2024-03-01,-4.1,-7.1,.3,,7.5,4.4,24,38.9,10.6,20.33,,,0
108,서울,2024-03-02,-.5,-8.1,4.1,0,7.1,3.2,48,60.4,5.8,13.21,,,4.5
108,서울,2024-03-03,4,.4,7.8,,5.9,2.9,42,71.5,6.6,13.52,,,2.3
108,서울,2024-03-04,5.4,-1.8,11.7,,3.2,1.6,17,45.5,9.5,17.79,,,4.5
108,서울,2024-03-05,8,5.5,11,,5.5,2.9,32,45.1,.1,6.29,,,8.8
108,서울,2024-03-06,6.2,2.5,10.3,,5.1,2.8,46,58.8,2.3,10.31,,,5.9
108,서울,2024-03-07,3.9,1.2,8.2,2.1,4.9,3,45,62.4,2.5,8.77,,,5
108,서울,2024-03-08,2.1,-.7,6.5,,6.9,3.4,26,50.6,10.4,19.91,,,.4
108,서울,2024-03-09,2,-2.1,7.1,,4.8,2.7,24,50.8,10.9,21.15,,,0
108,서울,2024-03-10,4.2,-1.8,10.6,,4.4,2.1,26,54,10.9,20.38,,,1
108,서울,2024-03-11,6.2,2,10.8,,,,34,62.3,,,,,7
108,서울,2024-03-12,6.6,4.4,10,2.1,,,62,78,0,.3,,,6
108,서울,2024-03-13,6.5,1.3,12,,6.2,2.7,27,57.6,10.9,20.78,,,.4
108,서울,2024-03-14,8.5,3.4,15.4,,4.8,,23,58.3,,,,,1
108,서울,2024-03-15,8.9,4,14.5,,5.3,2.3,43,68.5,10.6,20.18,,,0
108,서울,2024-03-16,10.9,4.4,18.3,,4.7,2.1,19,54.5,8.3,18.28,,,3.9
108,서울,2024-03-17,8.8,5.4,12.2,.1,6.3,3.7,28,48,8.7,18.59,,,5.6
108,서울,2024-03-18,7.1,1.4,13.2,,4.5,2.4,13,28.6,10.6,21.33,,,2
108,서울,2024-03-19,6.7,3.9,9.8,.2,7.4,3.7,39,60.8,2.7,9.63,,,6.1
108,서울,2024-03-20,4.4,1.2,8.7,,6.1,3.4,26,46.5,9,19.09,,,1.8
108,서울,2024-03-21,5,-1.2,11.5,,4.9,2,25,46.5,11.3,22.43,,,2
108,서울,2024-03-22,10.4,3.8,15.2,5.4,8.4,3.4,31,57,3.5,10.25,,,7.6
108,서울,2024-03-23,13,9.3,18.2,.1,4.1,2.3,42,66,8.2,19.2,,,6.4
108,서울,2024-03-24,16.2,10.5,23.4,,4,2.4,22,42.5,8.1,19.89,,,4.9
108,서울,2024-03-25,10.6,6.7,14.5,5.1,6.9,4,39,63,0,4.68,,,9.6
108,서울,2024-03-26,7.4,3.2,12.4,11.5,5.7,2.6,55,77.3,2.3,13.76,,,6.1
108,서울,2024-03-27,10.4,4.4,16.2,,4.4,2,46,68.4,8.8,18.46,,,5.3
108,서울,2024-03-28,10.3,7.8,12.2,1.9,4.4,1.8,67,81.8,0,4.13,,,8.5
108,서울,2024-03-29,7.6,5,12.3,1.4,5.4,2.8,49,73,2.5,6.68,,,4.8
108,서울,2024-03-30,8.8,3,15.6,,5.6,2.4,30,56.5,5.4,16.07,,,3.9
108,서울,2024-03-31,10.6,3.4,17.7,,4.4,1.9,17,39.9,10.1,22.79,,,1.6
108,서울,2024-04-01,12.2,5.5,19,,4.3,1.8,14,32,11.5,23.72,,,.3
108,서울,2024-04-02,15.4,7,23.9,,4.5,2,18,37.5,9.5,21.69,,,3.1
108,서울,2024-04-03,16.6,13.9,19.7,0,3.4,1.8,42,55.9,.3,7.18,,,7.8
108,서울,2024-04-04,15.5,12.4,20.3,,5.2,2.9,39,52.1,3.6,15.47,,,6.5
108,서울,2024-04-05,14,10.2,18.8,,5.2,2.5,39,51.3,6.2,17.11,,,5.1
108,서울,2024-04-06,12.7,8,18.9,,5.1,1.9,28,48.6,6.6,17.49,,,3.9
108,서울,2024-04-07,14.8,7.7,23.4,,5.9,2,21,33.4,11.4,23.4,,,1
108,서울,2024-04-08,16.2,11,22.8,,5.2,2.1,28,46.5,2,14.44,,,8.3
108,서울,2024-04-09,15.3,10.6,20.8,,7.9,3.5,19,32.4,11.9,25.68,,,.4
108,서울,2024-04-10,13.8,10.2,18.5,,5.2,2.6,32,62.6,3.9,15.38,,,6
108,서울,2024-04-11,15.5,11.7,21.1,0,3.4,1.8,41,61,4,14.28,,,5.3
108,서울,2024-04-12,17.2,12,24.2,,4.3,2.1,30,59.6,9.8,23.59,,,1.9
108,서울,2024-04-13,19.1,11.2,27.3,,4.4,1.9,24,52.4,12.1,25.65,,,0
108,서울,2024-04-14,20.8,13.6,29.4,,5.3,1.9,25,47.1,11.7,24.93,,,3
108,서울,2024-04-15,16,11.7,20,17.1,5.1,2.5,44,77.4,0,3.18,,,8.6
108,서울,2024-04-16,13.3,11.5,17.9,2.3,4.1,2.5,60,82.6,3.7,13.45,,,6.3
108,서울,2024-04-17,15,9.7,21.8,,4.1,2.2,35,65.3,10.3,23.2,,,4.6
108,서울,2024-04-18,17.3,10.7,24.9,,4.9,2.2,28,53.3,11.7,25.45,,,0
108,서울,2024-04-19,17.6,11.5,24.3,,4.4,2.1,34,51.8,10.4,23.5,,,3.9
108,서울,2024-04-20,14.9,13,17.2,4.8,5.8,3,58,77.3,0,4.46,,,9.8
108,서울,2024-04-21,17.2,13.3,21.7,,5.5,3.8,54,65.5,1,11.86,,,8.8
108,서울,2024-04-22,18.8,15,24.1,,5.2,3.1,38,49.4,4.6,19.34,,,6.5
108,서울,2024-04-23,17.3,13.2,24.2,0,5.4,3.6,37,55,6,19.16,,,7.9
108,서울,2024-04-24,13.2,11,16.5,9,5.4,3,63,80.1,1.9,9.53,,,7.8
108,서울,2024-04-25,14.4,10.3,20.8,,3.3,1.9,47,75.6,6.2,18.59,,,4.4
108,서울,2024-04-26,17.8,11.4,26,,5.1,1.9,21,61.1,10.7,23.74,,,3.4
108,서울,2024-04-27,18.2,11.5,26.2,,4.5,1.9,30,56.4,12.5,28.23,,,.3
108,서울,2024-04-28,20.7,13,28.9,,3.4,1.6,22,53.5,11.4,25.14,,,5.9
108,서울,2024-04-29,20.9,16.9,26.1,,5.5,3,36,48,8.8,21.36,,,5.6
108,서울,2024-04-30,18.6,16,22.5,,4.4,2.2,45,62.5,5.5,17.95,,,8.5
108,서울,2024-05-01,18.5,13.9,24,,4.3,2.4,27,46,9.8,26.05,,,4.6
108,서울,2024-05-02,18.1,12.4,23.7,,5.2,2.4,29,48.4,12.8,28.72,,,0
108,서울,2024-05-03,19.7,12.2,27.9,,3.6,1.9,27,46.9,12.8,28.28,,,0
108,서울,2024-05-04,21.4,14.6,28.5,0,4.3,1.9,27,44.8,12.5,26.61,,,3.4
108,서울,2024-05-05,17.8,15.7,20.6,48.3,5.6,2.5,44,87.4,0,2.17,,,10
108,서울,2024-05-06,13.9,13.4,15.7,12.3,4.9,3.1,88,92.9,0,2.71,,,10
108,서울,2024-05-07,13.3,12.2,15,2.4,4.9,3,60,77.3,0,4.75,,,9.6
108,서울,2024-05-08,14.7,9,21.4,,4.9,2.3,36,58.8,11,27.21,,,1.8
108,서울,2024-05-09,16.1,10.9,21.8,,5.9,2.9,35,63.6,12.8,27.17,,,.3
108,서울,2024-05-10,17.9,12.5,23.8,,5.5,2.6,29,55.6,12.5,28.02,,,2
108,서울,2024-05-11,17,14,22,31.7,9.1,3.5,54,80,.1,5.72,,,9.3
108,서울,2024-05-12,16.6,11.9,21.6,,5.8,2.7,39,65,11.4,28.91,,,2.6
108,서울,2024-05-13,18.3,11.9,24.5,,5.3,2.3,27,51.9,13.1,30.09,,,0
108,서울,2024-05-14,18.8,12.7,24.7,,5.3,2.4,23,43.3,13,30.02,,,.1
108,서울,2024-05-15,12.6,7.2,18.8,20.6,6.6,2.7,41,74.3,3.1,8.35,,,6.5
108,서울,2024-05-16,13.7,6.9,19.8,.1,5.7,3.1,32,61.3,13.1,31.35,,,1.5
108,서울,2024-05-17,18.3,10.8,24.9,,4.2,2.2,42,63.6,10.8,24.4,,,3.8
108,서울,2024-05-18,20.7,16,26.5,,4.9,2,46,65.3,11.3,26.88,,,2.3
108,서울,2024-05-19,21.5,15.9,27.9,,4.5,1.9,30,63.1,12.6,28.99,,,1.1
108,서울,2024-05-20,19.4,16.8,22.8,,4.6,2.3,63,75,.5,11.45,,,7.3
108,서울,2024-05-21,21.7,16.3,28.3,,3.6,1.9,33,68.1,9.4,26.37,,,2.9
108,서울,2024-05-22,20.5,16.4,25.5,,4.3,2.3,44,68.9,10,27.4,,,5.8
108,서울,2024-05-23,20.2,15.8,26.4,,4.3,2.5,43,67.9,12.7,30.1,,,2.4
108,서울,2024-05-24,20.1,15.7,24.7,,4.7,2.1,61,75.1,4.7,20.51,,,6.6
108,서울,2024-05-25,21.4,18.7,24.7,,3.8,1.8,47,62.8,2.3,17.34,,,7.8
108,서울,2024-05-26,19.9,17,23.7,8.7,5.7,2.7,49,74.3,3.1,10.2,,,9
108,서울,2024-05-27,18.5,14.1,22.6,,6.4,3.3,40,63.4,9.9,26.89,,,3.3
108,서울,2024-05-28,20.4,14.3,26.1,,4.6,2.5,32,54.8,11.1,27.55,,,1.9
108,서울,2024-05-29,21.2,15.4,26.8,,4.9,2.1,30,51.6,13.2,29.38,,,2.8
108,서울,2024-05-30,20.7,16.2,24.6,,3.4,1.6,37,49.1,.6,12.97,,,8.5
108,서울,2024-05-31,20.4,16.9,25.4,1,6,2.6,35,60,11.8,30.31,,,3.3
108,서울,2024-06-01,20.7,17.5,25.2,0,5.3,2.8,34,61.3,9.4,27.02,,,4.3
108,서울,2024-06-02,20.4,15.7,25.8,,5.1,2.7,36,51.9,12.4,28.7,,,1.3
108,서울,2024-06-03,22.2,15.7,28.7,,4.2,2.4,29,47.4,11.2,29.95,,,1
108,서울,2024-06-04,22.8,16.3,29.3,,4.1,2.4,29,42.1,13.5,31.17,,,.1
108,서울,2024-06-05,23.6,18.1,30.1,,4.7,1.9,36,53.9,10.4,25.14,,,5.4
108,서울,2024-06-06,24.1,19.3,31.4,,4.3,2,31,54.3,9.3,24.47,,,3.4
108,서울,2024-06-07,23.1,18.3,28,.8,4,1.9,40,54.3,7.1,20.41,,,8
108,서울,2024-06-08,20.3,17.9,25,16.9,3.9,1.6,58,79.5,2.5,9.7,,,7.4
108,서울,2024-06-09,22.9,17.4,28.8,,4.5,1.8,47,68.9,12.3,28.38,,,4.5
108,서울,2024-06-10,24.7,19,31.1,,4.6,2.2,44,66.3,11.9,26.57,,,1.4
108,서울,2024-06-11,25.4,21.7,31.6,,4.7,2.4,40,62.4,10.2,27.17,,,5.1
108,서울,2024-06-12,24.8,19.2,31.8,,4.7,2.1,35,60.8,11.3,27.73,,,4.1
108,서울,2024-06-13,26.4,20,32.8,,4.3,1.8,28,51.4,13.3,29.8,,,.9
108,서울,2024-06-14,26.3,21.4,33,,5.9,2.3,35,56,9.1,24.24,,,5.6
108,서울,2024-06-15,24.2,21.8,28.2,6.1,3.9,1.9,55,72.3,3.4,15.71,,,6.5
108,서울,2024-06-16,24.3,19.9,29.5,,5,2.8,38,58.4,13.2,30.02,,,.9
108,서울,2024-06-17,24.8,18.9,30.2,,5,2.4,28,48.4,13.1,28.17,,,4.6
108,서울,2024-06-18,26,20.4,32.9,,4.2,2.1,35,59.5,13.4,29.22,,,0
108,서울,2024-06-19,28.8,21.4,35.8,,4,1.6,32,54.3,13,28.25,,,3.3
108,서울,2024-06-20,29.4,23.4,35.4,,3.8,2,27,45.1,12.1,25.99,,,2.8
108,서울,2024-06-21,28.1,22.9,33.9,,4.8,2,34,49.8,10.3,24.75,,,5.8
108,서울,2024-06-22,24.2,22.6,26.1,16.5,3.4,2,59,80.6,0,3.59,,,10
108,서울,2024-06-23,25.1,22.5,30.1,5.1,5.2,2.2,59,79.5,3.8,18.84,,,8.3
108,서울,2024-06-24,24.3,21.2,27.9,0,5.4,2.9,45,70.4,7,19.62,,,5.8
108,서울,2024-06-25,22.9,19.1,27.2,,6.2,3,42,61.9,10.7,25.24,,,4.3
108,서울,2024-06-26,24.9,18.9,31.6,,5,1.9,38,61,12.3,27.64,,,1.3
108,서울,2024-06-27,26.3,20.6,31.6,,4,1.6,38,55,9.3,23.84,,,3
108,서울,2024-06-28,26.6,21.3,32.5,,4.7,2.1,35,54.6,13.2,28.84,,,2
108,서울,2024-06-29,26.7,21.6,32.3,38.3,5.5,2.2,44,65.1,6.9,20.46,,,6.6
108,서울,2024-06-30,23.5,22,24.9,32.2,7.2,3.7,80,88.5,0,3.89,,,8.5
108,서울,2024-07-01,26.3,22,31.3,,3.4,1.8,47,69.1,8.3,24.69,,,5.5
108,서울,2024-07-02,23.2,21.9,25.2,65.1,5.3,2.8,77,90,0,1.93,,,9.9
108,서울,2024-07-03,24.7,23.6,25.9,.8,5.5,3.6,70,80.3,.6,8.91,,,9
108,서울,2024-07-04,26.8,23.2,30.6,3.6,6.6,3,56,74.8,3.4,18.81,,,8.6
108,서울,2024-07-05,23.4,21.3,26.1,4.1,7.6,3.3,67,80.5,1.4,11.25,,,9.1
108,서울,2024-07-06,25.1,22.1,30,2.8,6.5,3.2,73,84.1,.1,6.84,,,9.8
108,서울,2024-07-07,24.4,21.5,28.2,28.7,4.2,1.8,68,85.1,.6,11.09,,,8.8
108,서울,2024-07-08,23.8,23.1,24.5,21.1,4,1.8,89,93.4,0,3.36,,,9.8
108,서울,2024-07-09,24.5,22.7,26.7,.3,4.7,1.8,78,86.9,.1,7.77,,,9.5
108,서울,2024-07-10,26.6,22.7,31.1,1.4,4.9,2.2,57,77.1,7.1,20.04,,,6.3
108,서울,2024-07-11,25.7,23.3,28.9,,3.7,2.1,66,79.6,5.9,21.74,,,5.1
108,서울,2024-07-12,25.6,21.8,30.2,,3.4,1.6,59,79.5,3.7,13.33,,,4.4
108,서울,2024-07-13,28.1,23.5,33.3,0,4.2,1.9,40,70,9.9,23.54,,,2.1
108,서울,2024-07-14,28.4,24.9,32.1,.4,3.8,2.4,54,65.9,7.6,22.34,,,4.8
108,서울,2024-07-15,28.4,24.5,31.3,0,3.7,2.4,55,64.6,6.3,18.13,,,5.1
108,서울,2024-07-16,27,24.6,30.7,17,5.1,2.3,62,78.4,4.2,12.32,,,7.8
108,서울,2024-07-17,25.4,24.1,28.1,98.8,6.8,2.5,76,91.6,.1,3.48,,,9.8
108,서울,2024-07-18,24.3,23.1,25.6,128.8,7.5,2.2,89,95.3,0,2.47,,,10
108,서울,2024-07-19,27,24.2,30.8,.1,4.1,2.2,60,80.1,6.4,21.69,,,7.9
108,서울,2024-07-20,27.2,25.1,30.6,14.9,6.1,2.7,67,80.4,1.9,13.42,,,9
108,서울,2024-07-21,26.5,22.5,29.8,8.5,8.3,3.6,72,83.6,1.5,11.48,,,9.3
108,서울,2024-07-22,26.6,24.3,27.9,79.9,7.9,3.1,81,89,0,4.09,,,9.9
108,서울,2024-07-23,26.4,25.8,27.3,2,6.4,3.2,80,87.9,0,4.92,,,9.6
108,서울,2024-07-24,28.1,26,30.9,14.7,5.4,2.6,71,85,3,15.31,,,7.6
108,서울,2024-07-25,28.8,25.4,32.2,25.3,5,1.8,64,79.8,2.4,14.15,,,8.6
108,서울,2024-07-26,28.7,25.2,32.7,5.5,5.5,2.3,65,81.9,6.7,18.29,,,8
108,서울,2024-07-27,28.9,27.5,31.7,33.5,4.5,1.7,68,83.6,1.7,12.73,,,8.4
108,서울,2024-07-28,29.2,27.3,32.2,0,6.8,3.2,59,76,5.1,18.33,,,8.3
108,서울,2024-07-29,27.4,26.8,27.8,0,6.6,3.8,80,84,0,2.61,,,8.9
108,서울,2024-07-30,28.6,26.3,31.9,,4.3,2.8,66,78.8,3.6,15.95,,,7.4
108,서울,2024-07-31,29.4,27,33.3,,4.5,2.6,59,74.5,4.7,17.42,,,7.3
108,서울,2024-08-01,29.9,27.3,33.2,.3,3.9,2.6,64,75.5,3.6,14.95,,,6.8
108,서울,2024-08-02,29.6,28.2,32.5,,4.2,2.6,67,79.4,2.4,10.36,,,7.9
108,서울,2024-08-03,30.2,27.2,34.2,,4.3,2.2,58,75,7.8,21.64,,,4.4
108,서울,2024-08-04,31.8,27.3,36.2,,3.4,1.6,50,69.3,10.9,24.4,,,2.5
108,서울,2024-08-05,30,26.9,33.7,1.3,4.8,1.9,61,75.5,3.4,12.92,,,7.1
108,서울,2024-08-06,29.5,25.6,33.5,0,3.7,1.9,57,74.8,6.2,18.84,,,5.4
108,서울,2024-08-07,29.6,27.2,33.4,3.4,3.6,1.7,55,72,7.6,20.7,,,4.8
108,서울,2024-08-08,28.5,26.9,31.6,0,3.3,1.6,63,77.5,2.4,10.94,,,7.4
108,서울,2024-08-09,29.3,25.6,33.6,,3.3,1.6,56,74.1,6,15.55,,,2.8
108,서울,2024-08-10,30,26.4,33.6,,3.7,1.7,55,70.8,4.3,15.76,,,6.8
108,서울,2024-08-11,30.8,27.8,34.4,,3.4,1.8,53,67.8,4.4,17.14,,,6.3
108,서울,2024-08-12,31.1,28.2,34.1,,3.9,1.9,57,70.5,4.1,13.51,,,4.1
108,서울,2024-08-13,31.3,28.1,36.4,0,4.5,1.8,49,70,7.5,20.81,,,4.9
108,서울,2024-08-14,30,27.3,34.9,3,6.1,1.9,52,73,4.7,12.59,,,5.6
108,서울,2024-08-15,29.2,26.7,34.6,6.4,8.2,1.8,53,74.6,4.1,15.98,,,5.4
108,서울,2024-08-16,29.8,26.8,34.3,0,4.8,2,51,69.4,6.7,17.24,,,3
108,서울,2024-08-17,29.8,27.2,34,11,6.4,1.7,53,71,5.3,14.73,,,4.8
108,서울,2024-08-18,29.5,27,33.9,0,5,2,56,73.8,6.4,17.64,,,5.5
108,서울,2024-08-19,29.7,26.3,35.3,2.3,6.4,1.9,46,72.3,7.1,20.08,,,2.5
108,서울,2024-08-20,31.4,27,35.4,0,4.2,2.3,54,68.3,7.7,19.09,,,6.1
108,서울,2024-08-21,28.4,26.9,30.8,42.2,5.3,3.2,71,85.9,0,4.68,,,9.5
108,서울,2024-08-22,28.6,27.1,30.3,.6,7.5,3.4,70,79.9,1.8,7.27,,,8.8
108,서울,2024-08-23,28.4,26.4,31.8,0,5,2.7,59,73.5,5.6,17.48,,,5.3
108,서울,2024-08-24,27.6,25.1,30.9,2,3.6,1.4,66,78.8,2.4,12.04,,,3.8
108,서울,2024-08-25,28.5,24.9,32.7,,4.6,1.4,58,76.6,5.1,15.82,,,3.4
108,서울,2024-08-26,28.1,25.6,30.6,0,3.7,1.5,61,77.8,.3,8.21,,,8
108,서울,2024-08-27,26.5,24.6,30.3,.3,4.5,1.9,52,69.8,3.7,10.04,,,6.1
108,서울,2024-08-28,28.2,23,33.2,,4.2,2.9,46,62.1,11.5,23.98,,,.4
108,서울,2024-08-29,28.4,23.4,33.5,,5.3,3.1,49,61,12,24.86,,,.6
108,서울,2024-08-30,28,23.7,32.9,,4.5,2.4,45,64,12,24.53,,,.9
108,서울,2024-08-31,27.6,22.6,33,,4.3,1.9,40,65.6,12,24.15,,,1.8
108,서울,2024-09-01,27.1,24.6,31.6,,4.3,2,41,64.9,6.9,20.05,,,4.5
108,서울,2024-09-02,24.5,22.2,26.9,2.7,4.5,2.6,65,73.6,.1,5.82,,,8
108,서울,2024-09-03,27,23.2,32,,4.4,2.9,44,54.5,7.4,20.85,,,2.6
108,서울,2024-09-04,27.9,23.2,33.3,,3.4,2.2,42,61.4,10.6,22.99,,,3
108,서울,2024-09-05,26.3,25.6,28.8,6.9,5.5,2.4,63,79.1,.9,6.91,,,8.8
108,서울,2024-09-06,24,23.3,25.7,.7,4.8,2.6,69,79.3,0,4.41,,,10
108,서울,2024-09-07,26.5,22.8,31.3,0,3.2,1.9,50,68.9,7.6,18.81,,,4
108,서울,2024-09-08,27.2,22.6,32.8,,3.8,1.6,47,69.6,9.1,20.01,,,2
108,서울,2024-09-09,28.5,24.1,34.1,,3.6,1.9,50,69,6,16.38,,,3.6
108,서울,2024-09-10,29.4,25.6,33.9,,3.5,1.8,51,67.3,9,17.2,,,1.3
108,서울,2024-09-11,29,25.4,34.6,.4,4.2,1.8,50,71.5,5.2,12.49,,,5.5
108,서울,2024-09-12,25.4,24.8,27.1,32.7,3.3,2.1,85,91.5,0,3.78,,,9.8
108,서울,2024-09-13,25.9,24.2,28,7.6,4.3,2.2,80,91.4,0,4.86,,,10
108,서울,2024-09-14,28,25.2,32.2,0,3.5,1.7,59,80.3,5.1,14.61,,,4.8
108,서울,2024-09-15,27.5,24.2,32.4,,5.4,2.8,59,73.6,8.2,18.89,,,3.1
108,서울,2024-09-16,26.8,21.3,32.2,9.5,4.9,2.8,58,74,6.2,17.09,,,5.6
108,서울,2024-09-17,28.6,25.8,33.2,,4.5,1.7,59,77,3.5,14.62,,,7.4
108,서울,2024-09-18,29.4,26.5,33.6,.7,3.6,1.6,61,76.8,6.5,17.53,,,7
108,서울,2024-09-19,29.1,25.6,32.6,,2.7,1.7,63,77.4,1.4,11.47,,,8.5
